学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
黑龙江外国语学院,普通本科,530.00,--,500.00,147173,490,平行录取二段,小学教育
合肥学院,普通本科,--,--,550.00,94794,490,平行录取二段,小学教育
西安外事学院,普通本科,--,--,490.00,156885,490,平行录取二段,小学教育
西安外事学院,普通本科,499.00,414.00,329.00,234340,344,平行录取三段,小学教育
燕京理工学院,普通本科,--,--,513.00,134025,490,平行录取二段,小学教育
燕京理工学院,普通本科,--,--,551.00,93653,344,平行录取三段,小学教育
湖南城市学院,普通本科,--,557.00,552.00,92541,490,平行录取二段,小学教育
江西应用科技学院,普通本科,--,--,490.00,156885,490,平行录取二段,小学教育
江西应用科技学院,普通本科,--,--,344.00,234340,344,平行录取三段,小学教育
湖北民族大学,普通本科,--,--,551.00,93653,490,平行录取二段,小学教育
