学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
江西师范大学,普通本科,--,--,579.00,63129,490,平行录取二段,师范 学前教育 特殊教育 教育技术学
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育 艺术教育 科学教育 特殊教育 教育技术学 小学教育
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段,师范 教育学 学前教育 艺术教育 科学教育 特殊教育 教育技术学 小学教育
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段,师范 教育学 学前教育 艺术教育 科学教育 特殊教育 教育技术学 小学教育
河北民族师范学院,普通本科,--,--,--,--,--,--,师范 科学教育
江西师范高等专科学校,专科（高职）,--,--,490.00,156885,490,平行录取二段,师范
江西师范高等专科学校,专科（高职）,--,--,487.00,159662,344,平行录取三段,师范
阜阳幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
上饶师范学院,普通本科,596.00,--,560.00,83957,490,平行录取二段,师范 学前教育 教育技术学 小学教育
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段,师范 人文教育 教育学 学前教育 科学教育 教育技术学 小学教育
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段,师范 人文教育 教育学 学前教育 科学教育 教育技术学 小学教育
江西科技师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范
江西科技师范大学,普通本科,--,--,556.00,88305,490,平行录取二段,师范
长江师范学院,普通本科,563.00,559.00,558.00,86164,490,平行录取二段,师范 小学教育
上海师范大学天华学院,独立学院,--,--,517.00,129871,490,平行录取二段,师范
广西科技师范学院,普通本科,--,--,--,--,--,--,师范 艺术教育 小学教育
桂林师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
鹤岗师范高等专科学校,专科（高职）,488.00,--,447.00,192243,344,平行录取三段,师范
鞍山师范学院,普通本科,--,--,550.00,94794,490,平行录取二段,师范 学前教育 教育技术学 小学教育
运城师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
朔州师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
闽江师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
吕梁学院汾阳师范分校,专科（高职）,--,--,--,--,--,--,师范
宁夏师范学院,普通本科,--,--,--,--,--,--,师范 人文教育 学前教育 科学教育 教育技术学 小学教育
沈阳师范大学,普通本科,--,--,553.00,91440,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
太原幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
辽宁师范大学,普通本科,--,--,571.00,71762,490,平行录取二段,师范 教育学 学前教育 特殊教育 教育技术学
湘中幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
黔南民族幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
河北科技师范学院,普通本科,566.00,--,550.00,94794,490,平行录取二段,师范 学前教育 科学教育 教育技术学 小学教育
新疆师范大学,普通本科,566.00,554.00,543.00,102323,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
毕节幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
六盘水幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 人文教育 教育学 学前教育 科学教育 特殊教育 教育技术学 小学教育
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段,师范 人文教育 教育学 学前教育 科学教育 特殊教育 教育技术学 小学教育
北京师范大学-香港浸会大学联合国际学院,中外合作办学,607.00,597.00,590.00,51042,588,平行录取一段,师范
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 人文教育 学前教育 科学教育 特殊教育 教育技术学 小学教育
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段,师范 人文教育 学前教育 科学教育 特殊教育 教育技术学 小学教育
湖州师范学院,普通本科,--,--,588.00,53141,588,平行录取一段,师范 学前教育 科学教育 教育技术学 小学教育
湖州师范学院,普通本科,--,--,512.00,135071,490,平行录取二段,师范 学前教育 科学教育 教育技术学 小学教育
湖州师范学院,普通本科,--,--,569.00,73990,344,平行录取三段,师范 学前教育 科学教育 教育技术学 小学教育
天津师范大学津沽学院,独立学院,--,--,--,--,--,--,师范 学前教育
陕西学前师范学院,普通本科,--,--,--,--,--,--,师范 教育学 学前教育 小学教育
云南师范大学商学院,独立学院,--,--,508.00,139184,490,平行录取二段,师范 学前教育 小学教育
云南师范大学商学院,独立学院,--,--,550.00,94794,344,平行录取三段,师范 学前教育 小学教育
吉林师范大学博达学院,独立学院,--,--,498.00,149176,490,平行录取二段,师范 学前教育 小学教育
首都师范大学继续教育学院,其他,--,--,--,--,--,--,师范 教育学 学前教育 教育技术学 小学教育
长春师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
宜春幼儿师范高等专科学校,专科（高职）,--,--,490.00,156885,490,平行录取二段,师范
宜春幼儿师范高等专科学校,专科（高职）,--,--,459.00,183500,344,平行录取三段,师范
唐山幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
四川师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育 科学教育 特殊教育 教育技术学 小学教育
四川师范大学,普通本科,--,--,576.00,66295,490,平行录取二段,师范 教育学 学前教育 科学教育 特殊教育 教育技术学 小学教育
西华师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育 科学教育 教育技术学 小学教育
西华师范大学,普通本科,--,--,573.00,69596,490,平行录取二段,师范 教育学 学前教育 科学教育 教育技术学 小学教育
合肥师范学院,普通本科,--,--,--,--,--,--,师范 教育学 学前教育
马鞍山师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
盐城幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
茂名学院高州师范分院,普通本科,--,--,--,--,--,--,师范
山西师范大学,普通本科,--,--,589.00,52072,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
山西师范大学,普通本科,--,--,557.00,87261,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
阿坝师范学院,普通本科,--,--,--,--,--,--,师范 学前教育
苏州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
山西师范大学现代文理学院,独立学院,--,--,--,--,--,--,师范 学前教育 教育技术学
忻州师范学院,普通本科,--,--,--,--,--,--,师范 教育学 学前教育 艺术教育 科学教育 小学教育
上饶幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
太原师范学院,普通本科,576.00,564.00,552.00,92541,490,平行录取二段,师范 人文教育 教育学 学前教育 科学教育 小学教育
抚州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
驻马店幼儿师范高等专科学校,其他,--,--,--,--,--,--,师范
辽宁师范大学海华学院,独立学院,--,--,--,--,--,--,师范
韩山师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 教育技术学 小学教育
石家庄幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
岭南师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 科学教育 特殊教育 教育技术学 小学教育
湖北幼儿师范高等专科学校,其他,--,--,--,--,--,--,师范
汉江师范学院,普通本科,--,--,490.00,156885,490,平行录取二段,师范 小学教育
汉江师范学院,普通本科,531.00,--,472.00,172986,344,平行录取三段,师范 小学教育
首都师范大学科德学院,独立学院,--,--,--,--,--,--,师范 小学教育
株洲师范高等专科学校,其他,--,--,--,--,--,--,师范
成都师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 小学教育
甘肃民族师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 小学教育
上海师范大学,普通本科,632.00,605.00,588.00,53141,588,平行录取一段,师范 学前教育 科学教育 教育技术学 小学教育
上海师范大学,普通本科,--,--,586.00,55339,490,平行录取二段,师范 学前教育 科学教育 教育技术学 小学教育
西北师范大学知行学院,独立学院,--,--,--,--,--,--,师范 学前教育
湘南幼儿师范高等专科学校,其他,--,--,--,--,--,--,师范
安徽师范大学,普通本科,615.00,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育
安徽师范大学,普通本科,--,--,582.00,59826,490,平行录取二段,师范 教育学 学前教育
安徽师范大学,普通本科,--,--,563.00,80624,344,平行录取三段,师范 教育学 学前教育
广西民族师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 小学教育
广西幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
广西师范大学漓江学院,独立学院,533.00,--,509.00,138225,490,平行录取二段,师范 学前教育
西昌民族幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
河南师范大学,普通本科,--,--,597.00,43871,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
河南师范大学,普通本科,601.00,--,553.00,91440,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
南宁师范大学师园学院,独立学院,--,--,--,--,--,--,师范 学前教育 小学教育
宁德师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 艺术教育 小学教育
赣州师范高等专科学校,专科（高职）,--,--,492.00,154984,490,平行录取二段,师范
赣州师范高等专科学校,专科（高职）,--,--,483.00,163370,344,平行录取三段,师范
