学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
首都师范大学继续教育学院,其他,--,--,--,--,--,--
蚌埠学院,普通本科,--,--,554.00,90427,490,平行录取二段
四川师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
四川师范大学,普通本科,--,--,576.00,66295,490,平行录取二段
西华师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
西华师范大学,普通本科,--,--,573.00,69596,490,平行录取二段
呼和浩特民族学院,普通本科,--,--,--,--,--,--
山西师范大学,普通本科,--,--,589.00,52072,588,平行录取一段
山西师范大学,普通本科,--,--,557.00,87261,490,平行录取二段
四川民族学院,普通本科,--,--,--,--,--,--
南通大学,普通本科,611.00,586.00,571.00,71762,588,平行录取一段
南通大学,普通本科,--,--,571.00,71762,490,平行录取二段
忻州师范学院,普通本科,--,--,--,--,--,--
山西大同大学,普通本科,--,--,552.00,92541,490,平行录取二段
太原师范学院,普通本科,576.00,564.00,552.00,92541,490,平行录取二段
河北科技学院,普通本科,--,--,509.00,138225,490,平行录取二段
河北科技学院,普通本科,--,--,550.00,94794,344,平行录取三段
四川文理学院,普通本科,--,--,--,--,--,--
陕西服装工程学院,普通本科,--,485.00,359.00,231107,490,平行录取二段
陕西服装工程学院,普通本科,--,--,344.00,234340,344,平行录取三段
东莞理工学院,普通本科,563.00,563.00,563.00,80624,490,平行录取二段
广州大学,普通本科,--,--,--,--,--,--
韩山师范学院,普通本科,--,--,--,--,--,--
韶关学院,普通本科,579.00,576.20,559.00,85053,490,平行录取二段
岭南师范学院,普通本科,--,--,--,--,--,--
惠州学院,普通本科,--,--,--,--,--,--
嘉应学院,普通本科,--,--,--,--,--,--
黑龙江外国语学院,普通本科,530.00,--,500.00,147173,490,平行录取二段
汉江师范学院,普通本科,--,--,490.00,156885,490,平行录取二段
汉江师范学院,普通本科,531.00,--,472.00,172986,344,平行录取三段
首都师范大学科德学院,独立学院,--,--,--,--,--,--
成都师范学院,普通本科,--,--,--,--,--,--
甘肃民族师范学院,普通本科,--,--,--,--,--,--
上海师范大学,普通本科,632.00,605.00,588.00,53141,588,平行录取一段
上海师范大学,普通本科,--,--,586.00,55339,490,平行录取二段
北京吉利学院,普通本科,558.00,--,490.00,156885,490,平行录取二段
北京吉利学院,普通本科,507.00,--,386.00,223122,344,平行录取三段
广西民族师范学院,普通本科,--,--,--,--,--,--
河南师范大学,普通本科,--,--,597.00,43871,588,平行录取一段
河南师范大学,普通本科,601.00,--,553.00,91440,490,平行录取二段
武夷学院,普通本科,566.00,560.50,555.00,89385,490,平行录取二段
南宁师范大学师园学院,独立学院,--,--,--,--,--,--
宁德师范学院,普通本科,--,--,--,--,--,--
上海杉达学院,普通本科,--,--,490.00,156885,490,平行录取二段
上海杉达学院,普通本科,--,--,344.00,234340,344,平行录取三段
南昌师范学院,普通本科,--,--,--,--,--,--
湖北第二师范学院,普通本科,580.00,572.00,563.00,80624,490,平行录取二段
合肥学院,普通本科,--,--,550.00,94794,490,平行录取二段
黄山学院,普通本科,--,--,--,--,--,--
南阳理工学院,普通本科,564.00,551.00,538.00,107751,490,平行录取二段
张家口学院,普通本科,--,--,--,--,--,--
云南民族大学,普通本科,--,--,555.00,89385,490,平行录取二段
玉溪师范学院,普通本科,565.00,--,546.00,99147,490,平行录取二段
西安外事学院,普通本科,--,--,490.00,156885,490,平行录取二段
西安外事学院,普通本科,499.00,414.00,329.00,234340,344,平行录取三段
楚雄师范学院,普通本科,--,--,544.00,101293,490,平行录取二段
红河学院,普通本科,561.00,549.81,545.00,100206,490,平行录取二段
红河学院,普通本科,--,--,561.00,82841,344,平行录取三段
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
大理大学,普通本科,593.00,--,588.00,53141,588,平行录取一段
大理大学,普通本科,--,--,558.00,86164,490,平行录取二段
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段
安阳师范学院,普通本科,606.00,561.00,553.00,91440,588,平行录取一段
安阳师范学院,普通本科,--,--,553.00,91440,490,平行录取二段
咸阳师范学院,普通本科,563.00,556.50,550.00,94794,490,平行录取二段
渭南师范学院,普通本科,559.00,550.00,541.00,104530,490,平行录取二段
平顶山学院,普通本科,--,--,--,--,--,--
青海师范大学,普通本科,--,--,--,--,--,--
北华大学,普通本科,--,--,588.00,53141,588,平行录取一段
北华大学,普通本科,589.00,--,545.00,100206,490,平行录取二段
燕京理工学院,普通本科,--,--,513.00,134025,490,平行录取二段
燕京理工学院,普通本科,--,--,551.00,93653,344,平行录取三段
萍乡学院,普通本科,567.00,--,490.00,156885,490,平行录取二段
萍乡学院,普通本科,--,--,495.00,152160,344,平行录取三段
景德镇学院,普通本科,--,--,490.00,156885,490,平行录取二段
景德镇学院,普通本科,--,--,479.00,166895,344,平行录取三段
江西师范大学科学技术学院,独立学院,560.00,545.00,530.00,116093,490,平行录取二段
新乡学院,普通本科,562.00,--,547.00,98072,490,平行录取二段
河北师范大学汇华学院,独立学院,--,--,--,--,--,--
吉首大学,普通本科,--,--,602.00,39082,588,平行录取一段
吉首大学,普通本科,604.00,--,556.00,88305,490,平行录取二段
长春师范大学,普通本科,--,--,550.00,94794,490,平行录取二段
湖南科技大学,普通本科,604.00,596.00,588.00,53141,588,平行录取一段
湖南科技大学,普通本科,587.00,579.00,571.00,71762,490,平行录取二段
赣南师范大学科技学院,独立学院,--,--,--,--,--,--
吉林师范大学,普通本科,579.00,--,558.00,86164,588,平行录取一段
吉林师范大学,普通本科,565.00,--,556.00,88305,490,平行录取二段
湖南城市学院,普通本科,--,557.00,552.00,92541,490,平行录取二段
运城学院,普通本科,--,--,545.00,100206,490,平行录取二段
晋中学院,普通本科,--,--,--,--,--,--
白城师范学院,普通本科,--,--,516.00,130919,490,平行录取二段
湖南第一师范学院,普通本科,581.00,569.00,558.00,86164,490,平行录取二段
怀化学院,普通本科,--,--,550.00,94794,490,平行录取二段
西昌学院,普通本科,--,--,--,--,--,--
江西应用科技学院,普通本科,--,--,490.00,156885,490,平行录取二段
江西应用科技学院,普通本科,--,--,344.00,234340,344,平行录取三段
南京师范大学泰州学院,独立学院,--,--,530.00,116093,490,平行录取二段
佳木斯大学,普通本科,--,--,552.00,92541,490,平行录取二段
湖北师范大学文理学院,独立学院,--,--,--,--,--,--
湖北师范大学,普通本科,602.00,595.00,588.00,53141,588,平行录取一段
湖北师范大学,普通本科,--,--,569.00,73990,490,平行录取二段
牡丹江师范学院,普通本科,543.00,--,542.00,103416,490,平行录取二段
湖北工程学院,普通本科,--,--,554.00,90427,490,平行录取二段
成都大学,普通本科,586.00,569.00,560.00,83957,490,平行录取二段
哈尔滨学院,普通本科,571.00,555.00,548.00,96962,490,平行录取二段
肇庆学院,普通本科,--,--,--,--,--,--
湖北民族大学,普通本科,--,--,551.00,93653,490,平行录取二段
长沙师范学院,普通本科,--,--,--,--,--,--
湖北科技学院,普通本科,--,--,554.00,90427,490,平行录取二段
重庆第二师范学院,普通本科,--,--,--,--,--,--
集美大学,普通本科,608.00,597.00,588.00,53141,588,平行录取一段
集美大学,普通本科,--,--,583.00,58692,490,平行录取二段
保山学院,普通本科,--,--,--,--,--,--
福建师范大学,普通本科,624.00,604.00,591.00,49957,588,平行录取一段
福建师范大学,普通本科,--,--,574.00,68468,490,平行录取二段
文山学院,普通本科,560.00,--,547.00,98072,490,平行录取二段
泉州师范学院,普通本科,--,--,535.00,110842,490,平行录取二段
闽南师范大学,普通本科,--,--,591.00,49957,588,平行录取一段
闽南师范大学,普通本科,592.00,578.00,570.00,72877,490,平行录取二段
莆田学院,普通本科,--,--,--,--,--,--
荆楚理工学院,普通本科,566.00,557.90,551.00,93653,490,平行录取二段
荆楚理工学院,普通本科,537.00,497.84,476.00,169563,344,平行录取三段
洛阳师范学院,普通本科,574.00,--,550.00,94794,490,平行录取二段
周口师范学院,普通本科,564.00,--,548.00,96962,490,平行录取二段
哈尔滨剑桥学院,普通本科,--,--,--,--,--,--
南阳师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
商丘师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
许昌学院,普通本科,564.00,--,547.00,98072,588,平行录取一段
许昌学院,普通本科,--,--,547.00,98072,490,平行录取二段
聊城大学,普通本科,--,--,563.00,80624,490,平行录取二段
亳州学院,普通本科,--,--,--,--,--,--
临沂大学,普通本科,--,--,556.00,88305,490,平行录取二段
琼台师范学院,普通本科,567.00,--,558.00,86164,490,平行录取二段
琼台师范学院,普通本科,549.00,--,491.00,155917,344,平行录取三段
青岛大学,普通本科,--,--,588.00,53141,588,平行录取一段
青岛大学,普通本科,--,--,583.00,58692,490,平行录取二段
河西学院,普通本科,--,--,--,--,--,--
河南师范大学新联学院,独立学院,--,--,--,--,--,--
曲阜师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
曲阜师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
阜阳师范学院,普通本科,--,--,559.00,85053,490,平行录取二段
