学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
福建师范大学,普通本科,--,--,574.00,68468,490,平行录取二段
洛阳师范学院,普通本科,574.00,--,550.00,94794,490,平行录取二段
南阳师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
聊城大学,普通本科,--,--,563.00,80624,490,平行录取二段
内蒙古民族大学,普通本科,--,--,544.00,101293,490,平行录取二段
信阳学院,普通本科,--,--,--,--,--,--
曲阜师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
曲阜师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段
